Rec_ID,GeneID,Colour,Cell_Cycle_Cat,Cell_Cycle_Number,Gene_Induction,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,description,type_of_gene,Other_designations,Class
561,100074020,Yellow,21-28,27,0,ORNANAV1R-PS3004,-,-,-,8,vomeronasal 1 receptor ornAnaV1R-ps3004 pseudogene,pseudo,-,Animal
562,100074021,Yellow,13-20,17,1,DENND2C,-,-,Ensembl:ENSOANG00000004516,7,DENN domain containing 2C,protein-coding,DENN domain-containing protein 2C|DENN/MADD domain containing 2C,Animal
563,100074022,Red,21-28,22,1,LECT2,-,-,Ensembl:ENSOANG00000022501,X1,leukocyte cell derived chemotaxin 2,protein-coding,leukocyte cell-derived chemotaxin-2|leukocyte cell-derived chemotaxin-2-like,Animal
564,100074025,Yellow,5-12,8,1,LOC100074025,-,-,Ensembl:ENSOANG00000002112,X3,serpin B6-like,protein-coding,serpin B6-like,Animal
565,100074026,Red,21-28,24,0,ORNANAV1R-PS3744,-,-,-,8,vomeronasal 1 receptor ornAnaV1R-ps3744 pseudogene,pseudo,-,Animal
566,100074028,Yellow,13-20,14,1,TSNAXIP1,-,-,-,X1,translin associated factor X interacting protein 1,protein-coding,translin-associated factor X-interacting protein 1,Animal
567,100074029,Yellow,21-28,21,1,ORNANAV1R-PS4024,-,-,-,15,vomeronasal 1 receptor ornAnaV1R-ps4024 pseudogene,pseudo,-,Animal
568,100074030,Red,21-28,22,1,LRRC7,-,-,Ensembl:ENSOANG00000015522,4,leucine rich repeat containing 7,protein-coding,leucine-rich repeat-containing protein 7,Animal
569,100074031,Yellow,21-28,22,0,SEL1L,-,-,Ensembl:ENSOANG00000001115,1,SEL1L adaptor subunit of ERAD E3 ubiquitin ligase,protein-coding,protein sel-1 homolog 1|sel-1 suppressor of lin-12-like,Animal
570,100074032,Green,21-28,23,1,AHSG,-,-,Ensembl:ENSOANG00000046335,1,alpha 2-HS glycoprotein,protein-coding,alpha-2-HS-glycoprotein,Animal
571,100074034,Yellow,13-20,15,1,WDR37,-,-,Ensembl:ENSOANG00000036821,13,WD repeat domain 37,protein-coding,WD repeat-containing protein 37,Animal
572,100074035,Red,13-20,13,1,GABRB3,-,-,Ensembl:ENSOANG00000009525,18,gamma-aminobutyric acid type A receptor subunit beta3,protein-coding,"gamma-aminobutyric acid receptor subunit beta-3|gamma-aminobutyric acid (GABA) A receptor, beta 3|gamma-aminobutyric acid type A receptor beta3 subunit",Animal
573,100074036,Red,13-20,15,1,KCNC4,-,-,Ensembl:ENSOANG00000051178,7,potassium voltage-gated channel subfamily C member 4,protein-coding,"potassium voltage-gated channel subfamily C member 4|potassium voltage-gated channel, Shaw-related subfamily, member 4",Animal
574,100074037,Yellow,13-20,19,0,CCN6,-,WISP3,Ensembl:ENSOANG00000011591,19,cellular communication network factor 6,protein-coding,WNT1-inducible-signaling pathway protein 3|WNT1 inducible signaling pathway protein 3,Animal
575,100074038,Green,13-20,18,1,CDH4,-,-,Ensembl:ENSOANG00000003373,8,cadherin 4,protein-coding,"cadherin-4|cadherin 4, type 1, R-cadherin (retinal)",Animal
576,100074039,Red,13-20,14,0,BCAT1,-,-,Ensembl:ENSOANG00000013411,2,branched chain amino acid transaminase 1,protein-coding,"branched-chain-amino-acid aminotransferase, cytosolic",Animal
577,100074040,Red,21-28,25,1,U2SURP,-,-,Ensembl:ENSOANG00000003644,1,U2 snRNP associated SURP domain containing,protein-coding,U2 snRNP-associated SURP motif-containing protein,Animal
578,100074041,Yellow,13-20,16,0,LOC100074041,-,CCDC30|PPCS,Ensembl:ENSOANG00000009726|Ensembl:ENSOANG00000009727,5,phosphopantothenate--cysteine ligase,protein-coding,coiled-coil domain-containing protein 30|phosphopantothenate--cysteine ligase|trichohyalin|coiled-coil domain containing 30|phosphopantothenoylcysteine synthetase,Animal
579,100074042,Red,21-28,24,1,TMTC3,-,-,Ensembl:ENSOANG00000006640,14,transmembrane O-mannosyltransferase targeting cadherins 3,protein-coding,protein O-mannosyl-transferase TMTC3|transmembrane and tetratricopeptide repeat containing 3,Animal
580,100074043,Yellow,21-28,25,1,TIFA,-,-,-,12,TRAF interacting protein with forkhead associated domain,protein-coding,TRAF-interacting protein with FHA domain-containing protein A,Animal
581,100074044,Yellow,5-12,5,1,ORNANAV1R3281,-,-,Ensembl:ENSOANG00000046528,Un,vomeronasal 1 receptor ornAnaV1R3281,protein-coding,LOW QUALITY PROTEIN: vomeronasal 1 receptor ornAnaV1R3281|vomeronasal 1 receptor ornAnaV1R3281,Animal
582,100074046,Yellow,21-28,26,1,PDP1,-,-,-,4,pyruvate dehyrogenase phosphatase catalytic subunit 1,protein-coding,"pyruvate dehyrogenase phosphatase catalytic subunit 1|[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial|pyruvate dehydrogenase [acetyl-transferring]-phosphatase 1, mitochondrial",Animal
583,100074047,Green,21-28,22,1,ATP5F1E,-,ATP5E,Ensembl:ENSOANG00000019899,8,ATP synthase F1 subunit epsilon,protein-coding,"ATP synthase subunit epsilon, mitochondrial|ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit",Animal
584,100074048,Red,21-28,26,1,EPB41L2,-,-,Ensembl:ENSOANG00000010197,2,erythrocyte membrane protein band 4.1 like 2,protein-coding,band 4.1-like protein 2,Animal
585,100074050,Yellow,13-20,16,1,GRK4,-,-,Ensembl:ENSOANG00000021583,4,G protein-coupled receptor kinase 4,protein-coding,G protein-coupled receptor kinase 4,Animal
586,100074051,Red,21-28,26,1,CHURC1,-,-,-,1,churchill domain containing 1,protein-coding,protein Churchill,Animal
587,100074052,Red,13-20,13,1,GABRA6,-,-,Ensembl:ENSOANG00000003609,X1,gamma-aminobutyric acid type A receptor subunit alpha6,protein-coding,"gamma-aminobutyric acid receptor subunit alpha-6|gamma-aminobutyric acid (GABA) A receptor, alpha 6|gamma-aminobutyric acid type A receptor alpha6 subunit",Animal
588,100074053,Yellow,13-20,19,1,ATP2B2,-,-,Ensembl:ENSOANG00000015176,X1,ATPase plasma membrane Ca2+ transporting 2,protein-coding,"plasma membrane calcium-transporting ATPase 2|ATPase, Ca++ transporting, plasma membrane 2",Animal
589,100074054,Yellow,13-20,17,1,APBA1,-,-,Ensembl:ENSOANG00000002093,X5,amyloid beta precursor protein binding family A member 1,protein-coding,"amyloid-beta A4 precursor protein-binding family A member 1|amyloid beta (A4) precursor protein-binding, family A, member 1",Animal
590,100074056,Red,5-12,12,1,PLEKHD1,-,-,Ensembl:ENSOANG00000012627,1,pleckstrin homology and coiled-coil domain containing D1,protein-coding,"pleckstrin homology domain-containing family D member 1|pleckstrin homology domain containing, family D (with coiled-coil domains) member 1",Animal
591,100074057,Red,13-20,14,1,PDIA6,-,-,Ensembl:ENSOANG00000014500,1,protein disulfide isomerase family A member 6,protein-coding,protein disulfide-isomerase A6,Animal
592,100074059,Yellow,13-20,14,0,ADAMTS2,-,-,-,X2,ADAM metallopeptidase with thrombospondin type 1 motif 2,protein-coding,A disintegrin and metalloproteinase with thrombospondin motifs 2,Animal
593,100074062,Yellow,13-20,20,1,PRMT3,-,-,Ensembl:ENSOANG00000011286,3,protein arginine methyltransferase 3,protein-coding,protein arginine N-methyltransferase 3,Animal
594,100074063,Yellow,13-20,13,1,KCNA4,-,-,Ensembl:ENSOANG00000010709,3,potassium voltage-gated channel subfamily A member 4,protein-coding,"potassium voltage-gated channel subfamily A member 4|potassium voltage-gated channel, shaker-related subfamily, member 4",Animal
595,100074064,Yellow,13-20,17,1,SLC25A33,-,-,Ensembl:ENSOANG00000008171,5,solute carrier family 25 member 33,protein-coding,"solute carrier family 25 member 33|solute carrier family 25 (pyrimidine nucleotide carrier), member 33",Animal
596,100074065,Red,21-28,27,1,AGFG1,-,-,Ensembl:ENSOANG00000004524,7,ArfGAP with FG repeats 1,protein-coding,arf-GAP domain and FG repeat-containing protein 1,Animal
597,100074066,Green,13-20,18,1,TTC39C,-,-,Ensembl:ENSOANG00000003123,7,tetratricopeptide repeat domain 39C,protein-coding,tetratricopeptide repeat protein 39C,Animal
598,100074068,Yellow,13-20,20,1,MSANTD3,-,-,Ensembl:ENSOANG00000002115,X3,Myb/SANT DNA binding domain containing 3,protein-coding,myb/SANT-like DNA-binding domain-containing protein 3|Myb/SANT-like DNA-binding domain containing 3|UPF0439 protein C9orf30 homolog,Animal
599,100074069,Green,21-28,23,1,LDLRAD4,-,-,Ensembl:ENSOANG00000006016,5,low density lipoprotein receptor class A domain containing 4,protein-coding,low-density lipoprotein receptor class A domain-containing protein 4,Animal
600,100074070,Red,5-12,12,0,ORNANAV1R-PS3140,-,-,-,Un,vomeronasal 1 receptor ornAnaV1R-ps3140 pseudogene,pseudo,-,Animal
601,100074071,Red,21-28,21,1,CCDC59,-,-,-,14,coiled-coil domain containing 59,protein-coding,thyroid transcription factor 1-associated protein 26,Animal
602,100074072,Red,21-28,24,1,OSBPL8,-,-,Ensembl:ENSOANG00000011301,14,oxysterol binding protein like 8,protein-coding,oxysterol-binding protein-related protein 8,Animal
603,100074073,Yellow,21-28,21,1,KCNMB2,-,-,Ensembl:ENSOANG00000040015,1,potassium calcium-activated channel subfamily M regulatory beta subunit 2,protein-coding,"calcium-activated potassium channel subunit beta-2|potassium large conductance calcium-activated channel, subfamily M, beta member 2",Animal
604,100074075,Yellow,21-28,26,1,GDA,-,-,Ensembl:ENSOANG00000049388,X5,guanine deaminase,protein-coding,guanine deaminase,Animal
605,100074076,Yellow,5-12,11,1,FARSB,-,-,Ensembl:ENSOANG00000015387,1,phenylalanyl-tRNA synthetase subunit beta,protein-coding,phenylalanine--tRNA ligase beta subunit|phenylalanyl-tRNA synthetase beta subunit,Animal
606,100074077,Yellow,21-28,23,1,LARP4B,-,-,Ensembl:ENSOANG00000041582,13,La ribonucleoprotein 4B,protein-coding,la-related protein 4B|La ribonucleoprotein domain family member 4B,Animal
607,100074080,Green,21-28,22,1,MID2,-,-,Ensembl:ENSOANG00000014706,6,midline 2,protein-coding,probable E3 ubiquitin-protein ligase MID2,Animal
608,100074081,Yellow,21-28,27,1,TRIP13,-,-,Ensembl:ENSOANG00000007711,X3,thyroid hormone receptor interactor 13,protein-coding,pachytene checkpoint protein 2 homolog,Animal
609,100074082,Red,21-28,27,0,C14H12orf45,-,-,Ensembl:ENSOANG00000001805,14,chromosome 14 C12orf45 homolog,protein-coding,uncharacterized protein C12orf45 homolog,Animal
610,100074083,Yellow,13-20,19,1,CAMK2D,-,-,Ensembl:ENSOANG00000009295,12,calcium/calmodulin dependent protein kinase II delta,protein-coding,calcium/calmodulin-dependent protein kinase type II subunit delta,Animal
611,100074085,Yellow,5-12,7,1,PRELID3B,-,SLMO2,Ensembl:ENSOANG00000049774,8,PRELI domain containing 3B,protein-coding,PRELI domain containing protein 3B|slowmo homolog 2,Animal
612,100074088,Red,13-20,19,1,LRRC42,-,-,Ensembl:ENSOANG00000012733,18,leucine rich repeat containing 42,protein-coding,leucine-rich repeat-containing protein 42,Animal
613,100074089,Red,21-28,25,1,EIF3E,-,-,Ensembl:ENSOANG00000002269,4,eukaryotic translation initiation factor 3 subunit E,protein-coding,eukaryotic translation initiation factor 3 subunit E,Animal
614,100074090,Red,13-20,20,1,POLR2K,-,-,-,4,"RNA polymerase II, I and III subunit K",protein-coding,"DNA-directed RNA polymerases I, II, and III subunit RPABC4|RNA polymerase II subunit K|polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa|polymerase (RNA) II subunit K",Animal
615,100074091,Yellow,13-20,18,1,LOC100074091,-,-,-,15,regucalcin-like,protein-coding,regucalcin-like,Animal
616,100074092,Yellow,13-20,14,1,KBTBD11,-,-,Ensembl:ENSOANG00000014122,X1,kelch repeat and BTB domain containing 11,protein-coding,kelch repeat and BTB domain-containing protein 11|kelch repeat and BTB (POZ) domain containing 11,Animal
617,100074093,Yellow,13-20,16,1,GABRB2,-,-,Ensembl:ENSOANG00000003608,X1,gamma-aminobutyric acid type A receptor subunit beta2,protein-coding,"gamma-aminobutyric acid receptor subunit beta-2|GABA A receptor beta 2 subunit|gamma-aminobutyric acid (GABA) A receptor, beta 2|gamma-aminobutyric acid type A receptor beta2 subunit",Animal
618,100074094,Red,21-28,26,1,TJP2,-,-,Ensembl:ENSOANG00000013266,X5,tight junction protein 2,protein-coding,tight junction protein ZO-2,Animal
619,100074095,Red,13-20,16,0,RFLB,-,-,Ensembl:ENSOANG00000031851,X5,relaxin family locus B,protein-coding,relaxin family locus B,Animal
620,100074097,Yellow,5-12,8,1,CLSTN2,-,-,Ensembl:ENSOANG00000000204,1,calsyntenin 2,protein-coding,calsyntenin-2,Animal
621,100074099,Yellow,21-28,22,1,GPN3,-,-,Ensembl:ENSOANG00000004785,2,GPN-loop GTPase 3,protein-coding,GPN-loop GTPase 3,Animal
622,100074100,Red,5-12,11,1,CACNG3,-,-,Ensembl:ENSOANG00000042406,2,calcium voltage-gated channel auxiliary subunit gamma 3,protein-coding,"voltage-dependent calcium channel gamma-3 subunit|calcium channel, voltage-dependent, gamma subunit 3",Animal
623,100074101,Yellow,21-28,24,1,ZDHHC14,-,-,Ensembl:ENSOANG00000010962,2,zinc finger DHHC-type palmitoyltransferase 14,protein-coding,probable palmitoyltransferase ZDHHC14|zinc finger DHHC-type containing 14,Animal
624,100074102,Yellow,21-28,26,0,AKAP12,-,-,Ensembl:ENSOANG00000039295,2,A-kinase anchoring protein 12,protein-coding,A-kinase anchor protein 12|A kinase (PRKA) anchor protein 12,Animal
625,100074103,Red,21-28,28,1,PDIA4,-,-,Ensembl:ENSOANG00000000280,4,protein disulfide isomerase family A member 4,protein-coding,protein disulfide-isomerase A4,Animal
626,100074104,Yellow,5-12,6,1,LOC100074104,-,ZDHHC11B,Ensembl:ENSOANG00000043052,X3,probable palmitoyltransferase ZDHHC11,protein-coding,"probable palmitoyltransferase ZDHHC11|zinc finger, DHHC-type containing 11B",Animal
627,100074105,Red,13-20,14,0,MARCHF4,-,Mar-04,Ensembl:ENSOANG00000050114,1,membrane associated ring-CH-type finger 4,protein-coding,E3 ubiquitin-protein ligase MARCH4,Animal
628,100074107,Green,21-28,27,1,SEPTIN9,-,Sep-09,Ensembl:ENSOANG00000001759,Un,septin 9,protein-coding,septin-9,Animal
629,100074109,Yellow,21-28,24,1,RAB6B,-,-,Ensembl:ENSOANG00000047093,1,"RAB6B, member RAS oncogene family",protein-coding,ras-related protein Rab-6B,Animal
630,100074111,Red,21-28,28,0,TEX10,-,-,Ensembl:ENSOANG00000002117,X3,testis expressed 10,protein-coding,testis-expressed protein 10,Animal
631,100074112,Yellow,21-28,21,0,ORNANAV1R-PS3627,-,-,-,-,vomeronasal 1 receptor ornAnaV1R-ps3627 pseudogene,pseudo,-,Animal
632,100074113,Yellow,5-12,8,1,EIF2S1,-,-,Ensembl:ENSOANG00000045545,1,eukaryotic translation initiation factor 2 subunit alpha,protein-coding,"eukaryotic translation initiation factor 2 subunit 1|eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa",Animal
633,100074114,Yellow,21-28,22,1,KLHDC7B,-,-,-,14,kelch domain containing 7B,protein-coding,kelch domain-containing protein 7B,Animal
634,100074115,Red,13-20,17,1,ORNANAV1R-PS3141,-,-,-,Un,vomeronasal 1 receptor ornAnaV1R-ps3141 pseudogene,pseudo,-,Animal
635,100074117,Yellow,21-28,28,1,WNT9A,-,-,Ensembl:ENSOANG00000046921,13,Wnt family member 9A,protein-coding,protein Wnt-9a,Animal
636,100074118,Red,21-28,21,1,METTL25,-,-,-,14,methyltransferase like 25,protein-coding,methyltransferase-like protein 25,Animal
637,100074119,Red,21-28,28,1,ZDHHC17,-,-,Ensembl:ENSOANG00000047613,14,zinc finger DHHC-type palmitoyltransferase 17,protein-coding,palmitoyltransferase ZDHHC17|zinc finger DHHC-type containing 17,Animal
638,100074122,Red,13-20,14,0,DIP2C,-,-,Ensembl:ENSOANG00000006105,13,disco interacting protein 2 homolog C,protein-coding,disco-interacting protein 2 homolog C|DIP2 disco-interacting protein 2 homolog C,Animal
639,100074123,Yellow,13-20,20,1,TUBE1,-,-,Ensembl:ENSOANG00000011589,19,tubulin epsilon 1,protein-coding,tubulin epsilon chain,Animal
640,100074124,Red,5-12,11,1,TAF4,-,-,Ensembl:ENSOANG00000003371,8,TATA-box binding protein associated factor 4,protein-coding,"transcription initiation factor TFIID subunit 4|TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa",Animal
641,100074125,Yellow,13-20,20,0,KCNJ1,-,-,-,11,potassium inwardly rectifying channel subfamily J member 1,protein-coding,LOW QUALITY PROTEIN: ATP-sensitive inward rectifier potassium channel 1|potassium voltage-gated channel subfamily J member 1,Animal
642,100074126,Yellow,21-28,26,0,STAC,-,-,Ensembl:ENSOANG00000015309,21,SH3 and cysteine rich domain,protein-coding,SH3 and cysteine-rich domain-containing protein,Animal
643,100074127,Yellow,13-20,19,0,FOXJ3,-,-,Ensembl:ENSOANG00000009728,5,forkhead box J3,protein-coding,forkhead box protein J3,Animal
644,100074128,Yellow,13-20,15,1,ALDH1L2,-,-,Ensembl:ENSOANG00000001804,14,aldehyde dehydrogenase 1 family member L2,protein-coding,mitochondrial 10-formyltetrahydrofolate dehydrogenase,Animal
645,100074129,Red,5-12,6,0,NDST4,-,-,Ensembl:ENSOANG00000009292,12,N-deacetylase and N-sulfotransferase 4,protein-coding,bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 4|N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 4|N-deacetylase/N-sulfotransferase 4,Animal
646,100074134,Red,21-28,24,1,TATDN2,-,-,-,X1,TatD DNase domain containing 2,protein-coding,putative deoxyribonuclease TATDN2,Animal
647,100074135,Yellow,21-28,28,0,RPL18A,-,-,Ensembl:ENSOANG00000009129,2,ribosomal protein L18a,protein-coding,60S ribosomal protein L18a,Animal
648,100074137,Yellow,21-28,23,1,MYOM2,-,-,Ensembl:ENSOANG00000014120,X1,myomesin 2,protein-coding,"myomesin-2|myomesin (M-protein) 2, 165kDa",Animal
649,100074138,Green,21-28,23,1,NR2C2,-,-,Ensembl:ENSOANG00000010886,X1,nuclear receptor subfamily 2 group C member 2,protein-coding,nuclear receptor subfamily 2 group C member 2,Animal
650,100074139,Yellow,21-28,28,1,MOB3B,-,-,Ensembl:ENSOANG00000000338,X5,MOB kinase activator 3B,protein-coding,MOB kinase activator 3B,Animal
651,100074141,Red,13-20,14,1,SLC39A9,-,-,Ensembl:ENSOANG00000012625,1,solute carrier family 39 member 9,protein-coding,zinc transporter ZIP9,Animal
652,100074142,Green,13-20,17,1,PPIP5K2,-,-,Ensembl:ENSOANG00000005455,10,diphosphoinositol pentakisphosphate kinase 2,protein-coding,inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2,Animal
653,100074143,Red,13-20,18,1,RUFY1,-,-,Ensembl:ENSOANG00000010223,X2,RUN and FYVE domain containing 1,protein-coding,RUN and FYVE domain-containing protein 1,Animal
654,100074145,Yellow,13-20,19,1,PARN,-,-,Ensembl:ENSOANG00000020155,2,poly(A)-specific ribonuclease,protein-coding,poly(A)-specific ribonuclease PARN,Animal
655,100074147,Yellow,13-20,16,1,HTATIP2,-,-,Ensembl:ENSOANG00000011287,3,HIV-1 Tat interactive protein 2,protein-coding,"oxidoreductase HTATIP2|HIV-1 Tat interactive protein 2, 30kDa",Animal
656,100074148,Red,21-28,26,1,MTHFD1L,-,-,Ensembl:ENSOANG00000021726,2,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like,protein-coding,"monofunctional C1-tetrahydrofolate synthase, mitochondrial",Animal
657,100074149,Yellow,21-28,22,1,RAMP3,-,-,-,4,receptor activity modifying protein 3,protein-coding,receptor activity-modifying protein 3,Animal
658,100074150,Red,21-28,24,1,CPEB2,-,-,-,4,cytoplasmic polyadenylation element binding protein 2,protein-coding,cytoplasmic polyadenylation element-binding protein 2,Animal
659,100074151,Red,13-20,18,1,TMEM201,-,-,Ensembl:ENSOANG00000008172,5,transmembrane protein 201,protein-coding,transmembrane protein 201,Animal
660,100074152,Yellow,21-28,23,1,GID8,-,-,Ensembl:ENSOANG00000004972,8,GID complex subunit 8 homolog,protein-coding,glucose-induced degradation protein 8 homolog|protein C20orf11 homolog,Animal
661,100074153,Yellow,21-28,25,1,KYAT1,-,CCBL1,Ensembl:ENSOANG00000003335,4,kynurenine aminotransferase 1,protein-coding,"kynurenine--oxoglutarate transaminase 1|cysteine conjugate-beta lyase, cytoplasmic",Animal
662,100074154,Yellow,13-20,20,0,CAVIN3,-,-,-,2,caveolae associated protein 3,protein-coding,caveolae-associated protein 3,Animal
663,100074155,Yellow,21-28,27,1,STX17,-,-,Ensembl:ENSOANG00000046857,X3,syntaxin 17,protein-coding,syntaxin-17,Animal
664,100074156,Yellow,13-20,17,1,MPP5,-,-,-,1,membrane palmitoylated protein 5,protein-coding,"LOW QUALITY PROTEIN: MAGUK p55 subfamily member 5|membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5)",Animal
665,100074157,Yellow,13-20,13,1,GPR160,-,-,-,1,G protein-coupled receptor 160,protein-coding,probable G-protein coupled receptor 160,Animal
666,100074158,Green,21-28,26,1,LOC100074158,-,-,Ensembl:ENSOANG00000036193,X5,tropomyosin alpha-3 chain,protein-coding,tropomyosin alpha-3 chain,Animal
667,100074160,Green,13-20,16,1,CSRP2,-,-,Ensembl:ENSOANG00000007447,14,cysteine and glycine rich protein 2,protein-coding,cysteine and glycine-rich protein 2,Animal
668,100074162,Yellow,21-28,24,1,SGPP2,-,-,-,1,sphingosine-1-phosphate phosphatase 2,protein-coding,sphingosine-1-phosphate phosphatase 2,Animal
669,100074163,Red,21-28,24,1,LOC100074163,-,ZMYND11,Ensembl:ENSOANG00000006111,13,zinc finger MYND domain-containing protein 11,protein-coding,"LOW QUALITY PROTEIN: zinc finger MYND domain-containing protein 11|zinc finger MYND-type containing 11|zinc finger, MYND domain containing 11",Animal
670,100074164,Green,21-28,24,0,GABRA5,-,-,Ensembl:ENSOANG00000009524,18,gamma-aminobutyric acid type A receptor subunit alpha5,protein-coding,"gamma-aminobutyric acid receptor subunit alpha-5|gamma-aminobutyric acid (GABA) A receptor, alpha 5|gamma-aminobutyric acid type A receptor alpha5 subunit",Animal
671,100074165,Red,13-20,20,0,LVRN,-,-,Ensembl:ENSOANG00000021690,X5,laeverin,protein-coding,aminopeptidase Q,Animal
672,100074166,Red,5-12,9,0,LOC100074166,-,-,Ensembl:ENSOANG00000045649,1,G-protein coupled receptor 35-like,protein-coding,G-protein coupled receptor 35-like,Animal
673,100074167,Green,13-20,15,0,KCNJ5,-,-,Ensembl:ENSOANG00000000571,11,potassium inwardly rectifying channel subfamily J member 5,protein-coding,G protein-activated inward rectifier potassium channel 4|potassium voltage-gated channel subfamily J member 5,Animal
674,100074169,Red,13-20,18,1,CBLIF,-,-,Ensembl:ENSOANG00000021050,3,cobalamin binding intrinsic factor,protein-coding,cobalamin binding intrinsic factor,Animal
675,100074170,Red,21-28,22,1,TAMM41,-,-,Ensembl:ENSOANG00000001504,X1,TAM41 mitochondrial translocator assembly and maintenance homolog,protein-coding,"phosphatidate cytidylyltransferase, mitochondrial|TAM41, mitochondrial translocator assembly and maintenance protein, homolog",Animal
676,100074171,Yellow,13-20,14,1,SMC6,-,-,-,1,structural maintenance of chromosomes 6,protein-coding,structural maintenance of chromosomes protein 6,Animal
677,100074173,Yellow,21-28,24,0,PLCXD1,-,-,Ensembl:ENSOANG00000049032,15,phosphatidylinositol specific phospholipase C X domain containing 1,protein-coding,PI-PLC X domain-containing protein 1,Animal
678,100074174,Green,13-20,18,0,ZNF518A,-,-,-,3,zinc finger protein 518A,protein-coding,zinc finger protein 518A,Animal
679,100074175,Red,13-20,20,1,MRPS25,-,-,Ensembl:ENSOANG00000021369,X1,mitochondrial ribosomal protein S25,protein-coding,"28S ribosomal protein S25, mitochondrial",Animal
680,100074176,Yellow,13-20,17,1,SMPD3,-,-,Ensembl:ENSOANG00000010981,X1,sphingomyelin phosphodiesterase 3,protein-coding,"sphingomyelin phosphodiesterase 3|sphingomyelin phosphodiesterase 3, neutral membrane (neutral sphingomyelinase II)",Animal
681,100074177,Yellow,21-28,27,0,PLGRKT,-,-,Ensembl:ENSOANG00000013191,X5,plasminogen receptor with a C-terminal lysine,protein-coding,plasminogen receptor (KT),Animal
682,100074178,Yellow,21-28,21,0,ERH,-,-,Ensembl:ENSOANG00000012624,1,ERH mRNA splicing and mitosis factor,protein-coding,enhancer of rudimentary homolog,Animal
683,100074179,Red,21-28,22,0,HNRNPH1,-,-,Ensembl:ENSOANG00000010222,X2,heterogeneous nuclear ribonucleoprotein H1,protein-coding,heterogeneous nuclear ribonucleoprotein H|heterogeneous nuclear ribonucleoprotein H1 (H),Animal
684,100074180,Yellow,21-28,24,1,PPTC7,-,-,Ensembl:ENSOANG00000004786,2,protein phosphatase targeting COQ7,protein-coding,protein phosphatase PTC7 homolog|PTC7 protein phosphatase homolog,Animal
685,100074181,Red,13-20,13,1,PRKCB,-,-,Ensembl:ENSOANG00000001477,2,protein kinase C beta,protein-coding,protein kinase C beta type,Animal
686,100074182,Yellow,13-20,20,0,SYNJ2,-,-,Ensembl:ENSOANG00000029828,2,synaptojanin 2,protein-coding,synaptojanin-2,Animal
687,100074183,Yellow,21-28,26,0,GFRA2,-,-,Ensembl:ENSOANG00000013182,5,GDNF family receptor alpha 2,protein-coding,GDNF family receptor alpha-2,Animal
688,100074184,Yellow,13-20,17,1,GATA5,-,-,Ensembl:ENSOANG00000004981,8,GATA binding protein 5,protein-coding,transcription factor GATA-5,Animal
689,100074187,Green,21-28,21,1,LOC100074187,-,RPL17,Ensembl:ENSOANG00000002910,3,60S ribosomal protein L17,protein-coding,60S ribosomal protein L17|ribosomal protein L17,Animal
690,100074189,Red,21-28,21,0,PIGN,-,-,Ensembl:ENSOANG00000002105,X3,phosphatidylinositol glycan anchor biosynthesis class N,protein-coding,GPI ethanolamine phosphate transferase 1,Animal
691,100074193,Yellow,13-20,16,1,LOC100074193,-,-,-,X1,periodic tryptophan protein 1 homolog,pseudo,-,Animal
692,100074194,Yellow,21-28,27,1,UBE3C,-,-,Ensembl:ENSOANG00000006137,13,ubiquitin protein ligase E3C,protein-coding,ubiquitin-protein ligase E3C,Animal
693,100074195,Green,13-20,17,1,GABRG3,-,-,-,18,gamma-aminobutyric acid type A receptor subunit gamma3,protein-coding,"gamma-aminobutyric acid receptor subunit gamma-3|gamma-aminobutyric acid (GABA) A receptor, gamma 3|gamma-aminobutyric acid type A receptor gamma3 subunit",Animal
694,100074197,Yellow,13-20,15,0,LAMA4,-,-,Ensembl:ENSOANG00000011587,19,laminin subunit alpha 4,protein-coding,"laminin subunit alpha-4|laminin, alpha 4",Animal
695,100074198,Yellow,13-20,17,1,LSM14B,-,-,Ensembl:ENSOANG00000003370,8,LSM family member 14B,protein-coding,"protein LSM14 homolog B|LSM14B, SCD6 homolog B",Animal
696,100074199,Red,5-12,5,1,LOC100074199,-,-,Ensembl:ENSOANG00000003242,1,G-protein coupled receptor 35-like,protein-coding,G-protein coupled receptor 35-like,Animal
697,100074200,Yellow,21-28,28,0,SLC8A1,-,-,-,1,solute carrier family 8 member A1,protein-coding,"sodium/calcium exchanger 1|solute carrier family 8 (sodium/calcium exchanger), member 1",Animal
698,100074201,Yellow,21-28,27,1,PCDH9,-,-,Ensembl:ENSOANG00000048359,2,protocadherin 9,protein-coding,protocadherin-9,Animal
699,100074203,Red,13-20,15,1,CDH17,-,-,Ensembl:ENSOANG00000006257,4,cadherin 17,protein-coding,"cadherin-17|cadherin 17, LI cadherin (liver-intestine)",Animal
